"Sim","Spread_Frac","Pp","Virus_D","Max_Productive","Max_Virions","Max_Semi"
2,0,1,838.8,559,133567,0
2,0,1,1258.2,775,180407,0
2,0,1,1677.6,862,204080,0
2,0,1,2097,922,222728,0
2,0,1,4194,1262,296106,0
2,0,1,8388,1762,397877,0
2,0,1,12582,2053,442599,0
2,0,1,16776,2351,498991,0
2,0,1,20970,2677,544620,0
2,0,1,41940,3158,606857,0
2,0,1,83880,3990,698981,0
2,0,1,125820,4611,743513,0
2,0,1,167760,4769,750895,0
2,0,1,209700,5059,765819,0
2,0,1,419400,5847,793075,0
2,0,1,838800,6242,801138,0
2,0,1,1258200,6489,804283,0
2,0,1,1677600,6642,816974,0
2,0,1,2097000,6591,806510,0
2,0,1,4194000,6604,805615,0
2,0,1,8388000,6681,815998,0
2,0,1,12582000,6632,803229,0
2,0,1,16776000,6611,802001,0
2,0,1,20970000,6704,806062,0
2,0,1,2.097e+09,6706,810842,0
2,0,1,2.097e+12,6611,805103,0
2,0,1,2.097e+15,6570,806191,0
2,0.1,0.575,419.4,133,27973,77
2,0.1,0.575,838.8,172,37878,99
2,0.1,0.575,1258.2,202,42795,121
2,0.1,0.575,1677.6,271,61027,143
2,0.1,0.575,2097,283,64857,183
2,0.1,0.575,4194,483,111985,331
2,0.1,0.575,8388,933,212217,528
2,0.1,0.575,12582,1020,246187,628
2,0.1,0.575,16776,1175,270431,746
2,0.1,0.575,20970,1286,301467,778
2,0.1,0.575,41940,1712,382951,1111
2,0.1,0.575,83880,2319,491771,1476
2,0.1,0.575,125820,2646,540860,1783
2,0.1,0.575,167760,3019,579839,2059
2,0.1,0.575,209700,3271,614678,2194
2,0.1,0.575,419400,3931,686071,2860
2,0.1,0.575,838800,4826,738911,3932
2,0.1,0.575,1258200,5329,767271,4657
2,0.1,0.575,1677600,5529,778595,5097
2,0.1,0.575,2097000,5533,776923,5076
2,0.1,0.575,4194000,5811,779967,5702
2,0.1,0.575,8388000,5863,780725,5825
2,0.1,0.575,12582000,5945,794729,5805
2,0.1,0.575,16776000,5926,785274,5930
2,0.1,0.575,20970000,5871,779403,5765
2,0.1,0.575,2.097e+09,5843,777527,5740
2,0.1,0.575,2.097e+12,5919,782389,5820
2,0.1,0.575,2.097e+15,5863,779464,5770
2,0.1,1,419.4,573,134527,0
2,0.1,1,838.8,734,176917,0
2,0.1,1,1258.2,847,202903,0
2,0.1,1,1677.6,888,212122,0
2,0.1,1,2097,990,234308,0
2,0.1,1,4194,1329,302209,0
2,0.1,1,8388,1744,381622,0
2,0.1,1,12582,2048,444324,0
2,0.1,1,16776,2316,489157,0
2,0.1,1,20970,2455,511067,0
2,0.1,1,41940,3420,636509,0
2,0.1,1,83880,3953,693657,0
2,0.1,1,125820,4499,735033,0
2,0.1,1,167760,4801,753827,0
2,0.1,1,209700,5228,766936,0
2,0.1,1,419400,5816,799916,0
2,0.1,1,838800,6373,807068,0
2,0.1,1,1258200,6572,805768,0
2,0.1,1,1677600,6693,807758,0
2,0.1,1,2097000,6698,808446,0
2,0.1,1,4194000,6779,810553,0
2,0.1,1,8388000,6804,803316,0
2,0.1,1,12582000,6833,809849,0
2,0.1,1,16776000,6858,808044,0
2,0.1,1,20970000,6745,807952,0
2,0.1,1,2.097e+09,6850,816411,0
2,0.1,1,2.097e+12,6861,807223,0
2,0.1,1,2.097e+15,6833,809271,0
2,0.25,0.575,419.4,211,46931,83
2,0.25,0.575,838.8,222,49214,105
2,0.25,0.575,1258.2,279,62491,126
2,0.25,0.575,1677.6,293,68535,145
2,0.25,0.575,2097,316,74149,172
2,0.25,0.575,4194,517,120015,288
2,0.25,0.575,8388,865,205596,501
2,0.25,0.575,12582,988,236897,582
2,0.25,0.575,16776,1140,261696,666
2,0.25,0.575,20970,1302,299019,741
2,0.25,0.575,41940,1746,379681,1048
2,0.25,0.575,83880,2180,459541,1412
2,0.25,0.575,125820,2561,517080,1644
2,0.25,0.575,167760,2847,564938,1816
2,0.25,0.575,209700,3096,598504,2001
2,0.25,0.575,419400,3820,668840,2780
2,0.25,0.575,838800,4834,737118,3816
2,0.25,0.575,1258200,5074,746203,4052
2,0.25,0.575,1677600,5377,754497,4522
2,0.25,0.575,2097000,5608,773363,4870
2,0.25,0.575,4194000,5891,782616,5197
2,0.25,0.575,8388000,5857,776558,5382
2,0.25,0.575,12582000,5913,777528,5358
2,0.25,0.575,16776000,5900,781012,5421
2,0.25,0.575,20970000,5931,779568,5387
2,0.25,0.575,2.097e+09,5906,775278,5388
2,0.25,0.575,2.097e+12,6023,783402,5405
2,0.25,0.575,2.097e+15,5864,773599,5430
2,0.25,1,419.4,863,204140,0
2,0.25,1,838.8,974,229106,0
2,0.25,1,1258.2,931,222970,0
2,0.25,1,1677.6,1034,247975,0
2,0.25,1,2097,1041,246393,0
2,0.25,1,4194,1435,320526,0
2,0.25,1,8388,1760,389023,0
2,0.25,1,12582,2117,447982,0
2,0.25,1,16776,2279,480798,0
2,0.25,1,20970,2554,528206,0
2,0.25,1,41940,3403,632631,0
2,0.25,1,83880,4197,703534,0
2,0.25,1,125820,4449,726114,0
2,0.25,1,167760,4845,749304,0
2,0.25,1,209700,5317,783487,0
2,0.25,1,419400,5824,786411,0
2,0.25,1,838800,6406,795525,0
2,0.25,1,1258200,6707,796819,0
2,0.25,1,1677600,6816,803581,0
2,0.25,1,2097000,6768,800723,0
2,0.25,1,4194000,6845,798071,0
2,0.25,1,8388000,6889,805892,0
2,0.25,1,12582000,6955,801610,0
2,0.25,1,16776000,6909,810311,0
2,0.25,1,20970000,6988,808995,0
2,0.25,1,2.097e+09,6983,812923,0
2,0.25,1,2.097e+12,7005,812281,0
2,0.25,1,2.097e+15,6929,810791,0
2,0.5,0.575,419.4,296,69023,117
2,0.5,0.575,838.8,375,85408,123
2,0.5,0.575,1258.2,370,82108,133
2,0.5,0.575,1677.6,374,85843,151
2,0.5,0.575,2097,395,91306,161
2,0.5,0.575,4194,560,127432,242
2,0.5,0.575,8388,796,188025,406
2,0.5,0.575,12582,965,220832,502
2,0.5,0.575,16776,1085,246578,615
2,0.5,0.575,20970,1190,269930,702
2,0.5,0.575,41940,1577,346931,927
2,0.5,0.575,83880,2140,443181,1306
2,0.5,0.575,125820,2485,501002,1513
2,0.5,0.575,167760,2677,541168,1773
2,0.5,0.575,209700,2927,561734,1932
2,0.5,0.575,419400,3606,648632,2477
2,0.5,0.575,838800,4422,713451,3210
2,0.5,0.575,1258200,4962,739463,3725
2,0.5,0.575,1677600,5180,748424,4045
2,0.5,0.575,2097000,5280,750814,4169
2,0.5,0.575,4194000,5623,758269,4708
2,0.5,0.575,8388000,5733,763979,4711
2,0.5,0.575,12582000,5906,776526,4818
2,0.5,0.575,16776000,5774,761826,4853
2,0.5,0.575,20970000,5877,778052,4838
2,0.5,0.575,2.097e+09,5740,764147,4785
2,0.5,0.575,2.097e+12,5810,768049,4848
2,0.5,0.575,2.097e+15,5848,768468,4854
2,0.5,1,419.4,1189,273269,0
2,0.5,1,838.8,1166,264573,0
2,0.5,1,1258.2,1192,269139,0
2,0.5,1,1677.6,1254,281514,0
2,0.5,1,2097,1275,283192,0
2,0.5,1,4194,1423,321727,0
2,0.5,1,8388,1757,380186,0
2,0.5,1,12582,2123,453991,0
2,0.5,1,16776,2279,471290,0
2,0.5,1,20970,2452,500854,0
2,0.5,1,41940,3206,619923,0
2,0.5,1,83880,3958,686026,0
2,0.5,1,125820,4625,734716,0
2,0.5,1,167760,4941,743534,0
2,0.5,1,209700,4955,749134,0
2,0.5,1,419400,5934,789663,0
2,0.5,1,838800,6405,802596,0
2,0.5,1,1258200,6661,804676,0
2,0.5,1,1677600,6670,793630,0
2,0.5,1,2097000,6797,795633,0
2,0.5,1,4194000,6918,802951,0
2,0.5,1,8388000,7057,816299,0
2,0.5,1,12582000,7016,803235,0
2,0.5,1,16776000,6992,805901,0
2,0.5,1,20970000,7018,810106,0
2,0.5,1,2.097e+09,6960,795594,0
2,0.5,1,2.097e+12,6963,803967,0
2,0.5,1,2.097e+15,7011,805522,0
2,0.75,0.575,419.4,507,113772,143
2,0.75,0.575,838.8,454,103696,140
2,0.75,0.575,1258.2,509,116571,147
2,0.75,0.575,1677.6,523,117699,155
2,0.75,0.575,2097,494,113022,151
2,0.75,0.575,4194,603,138494,203
2,0.75,0.575,8388,749,172572,317
2,0.75,0.575,12582,841,190857,396
2,0.75,0.575,16776,952,214646,498
2,0.75,0.575,20970,1062,236483,557
2,0.75,0.575,41940,1299,293474,809
2,0.75,0.575,83880,1812,388722,1122
2,0.75,0.575,125820,2160,441281,1365
2,0.75,0.575,167760,2276,468836,1502
2,0.75,0.575,209700,2510,496900,1647
2,0.75,0.575,419400,3171,596808,2147
2,0.75,0.575,838800,3835,664433,2690
2,0.75,0.575,1258200,4347,696029,3106
2,0.75,0.575,1677600,4816,722461,3570
2,0.75,0.575,2097000,4743,711653,3603
2,0.75,0.575,4194000,5203,742782,3919
2,0.75,0.575,8388000,5225,740929,4058
2,0.75,0.575,12582000,5268,739227,3997
2,0.75,0.575,16776000,5272,738457,4094
2,0.75,0.575,20970000,5382,742666,4106
2,0.75,0.575,2.097e+09,5368,747611,4055
2,0.75,0.575,2.097e+12,5356,740557,4117
2,0.75,0.575,2.097e+15,5352,743734,4079
2,0.75,1,419.4,1354,303802,0
2,0.75,1,838.8,1347,297602,0
2,0.75,1,1258.2,1409,305741,0
2,0.75,1,1677.6,1393,305431,0
2,0.75,1,2097,1383,307179,0
2,0.75,1,4194,1467,324436,0
2,0.75,1,8388,1633,358298,0
2,0.75,1,12582,2068,435086,0
2,0.75,1,16776,2103,440894,0
2,0.75,1,20970,2178,459757,0
2,0.75,1,41940,3014,567956,0
2,0.75,1,83880,3612,637870,0
2,0.75,1,125820,4074,688112,0
2,0.75,1,167760,4225,705921,0
2,0.75,1,209700,4804,728764,0
2,0.75,1,419400,5485,766125,0
2,0.75,1,838800,5959,778190,0
2,0.75,1,1258200,6323,788585,0
2,0.75,1,1677600,6368,777863,0
2,0.75,1,2097000,6489,789967,0
2,0.75,1,4194000,6752,791373,0
2,0.75,1,8388000,6922,804072,0
2,0.75,1,12582000,6885,796471,0
2,0.75,1,16776000,6910,803366,0
2,0.75,1,20970000,6809,789036,0
2,0.75,1,2.097e+09,6908,803822,0
2,0.75,1,2.097e+12,6816,789904,0
