"t","Pp","Virus_D","Productive"
20,0.575,-0.234704070301943,33
21,0.575,-0.234704070301943,37
22,0.575,-0.234704070301943,42
23,0.575,-0.234704070301943,41
24,0.575,-0.234704070301943,49
25,0.575,-0.234704070301943,61
26,0.575,-0.234704070301943,67
27,0.575,-0.234704070301943,62
28,0.575,-0.234704070301943,59
29,0.575,-0.234704070301943,52
30,0.575,-0.234704070301943,55
31,0.575,-0.234704070301943,58
32,0.575,-0.234704070301943,56
33,0.575,-0.234704070301943,64
34,0.575,-0.234704070301943,60
35,0.575,-0.234704070301943,63
36,0.575,-0.234704070301943,73
37,0.575,-0.234704070301943,83
38,0.575,-0.234704070301943,87
39,0.575,-0.234704070301943,95
40,0.575,-0.234704070301943,93
41,0.575,-0.234704070301943,96
42,0.575,-0.234704070301943,97
43,0.575,-0.234704070301943,114
44,0.575,-0.234704070301943,108
45,0.575,-0.234704070301943,114
46,0.575,-0.234704070301943,120
47,0.575,-0.234704070301943,126
48,0.575,-0.234704070301943,116
49,0.575,-0.234704070301943,127
50,0.575,-0.234704070301943,132
51,0.575,-0.234704070301943,125
52,0.575,-0.234704070301943,125
53,0.575,-0.234704070301943,127
54,0.575,-0.234704070301943,123
55,0.575,-0.234704070301943,131
56,0.575,-0.234704070301943,136
57,0.575,-0.234704070301943,142
58,0.575,-0.234704070301943,141
59,0.575,-0.234704070301943,128
60,0.575,-0.234704070301943,145
61,0.575,-0.234704070301943,145
62,0.575,-0.234704070301943,152
63,0.575,-0.234704070301943,151
64,0.575,-0.234704070301943,158
65,0.575,-0.234704070301943,159
66,0.575,-0.234704070301943,163
67,0.575,-0.234704070301943,160
68,0.575,-0.234704070301943,171
69,0.575,-0.234704070301943,192
70,0.575,-0.234704070301943,175
71,0.575,-0.234704070301943,164
